,enemy_damage,enemy_heals,outcome,team_damage,team_heals,timestamp
0,138464,19082,VICTORY,182192,44046,20180622 154502
1,165951,31492,VICTORY,176409,67830,20180622 160110
2,261771,96038,DEFEAT,304142,78775,20180622 161843
3,227658,65507,DEFEAT,162635,50365,20180622 163528
4,222258,21746,DEFEAT,232827,36329,20180622 181030
5,182995,37652,DEFEAT,225726,22517,20180622 182756
6,222319,0,DEFEAT,136511,0,20180622 184555
7,375206,97564,DEFEAT,327914,77226,20180622 191841
8,318145,0,VICTORY,282448,59029,20180622 202810
9,289342,75195,VICTORY,280987,68341,20180622 204918
10,207471,43485,DEFEAT,222811,28673,20180622 210707
11,324850,90312,DEFEAT,337374,59197,20180622 222742
12,99672,32402,VICTORY,162751,9593,20180622 223951
13,269244,0,DEFEAT,166883,0,20180622 225702
14,288810,107193,VICTORY,319372,86389,20180622 231821
15,60226,0,VICTORY,121695,0,20180622 232724
16,161186,47141,VICTORY,192344,42514,20180622 234343
